JD,Mag,Error Mag,Band
2453112.674,10.544,0.004,V
2453112.675,10.542,0.005,V
2453112.679,10.579,0.004,V
2453112.68,10.574,0.004,V
2453112.681,10.572,0.004,V
2453112.682,10.583,0.005,V
2453112.683,10.586,0.004,V
2453112.683,10.59,0.004,V
2453112.684,10.593,0.005,V
2453112.685,10.6,0.005,V
2453112.686,10.6,0.004,V
2453112.687,10.606,0.004,V
2453112.688,10.604,0.004,V
2453112.689,10.616,0.004,V
2453112.69,10.611,0.004,V
2453112.691,10.614,0.004,V
2453112.692,10.624,0.004,V
2453112.693,10.625,0.004,V
2453112.694,10.636,0.004,V
2453112.695,10.637,0.004,V
2453112.696,10.644,0.004,V
2453112.697,10.644,0.004,V
2453112.698,10.643,0.004,V
2453112.699,10.628,0.004,V
2453112.7,10.647,0.004,V
2453112.701,10.632,0.004,V
2453112.702,10.635,0.004,V
2453112.703,10.642,0.004,V
2453112.704,10.655,0.004,V
2453112.705,10.708,0.004,V
2453112.706,10.798,0.004,V
2453112.707,10.912,0.004,V
2453112.708,11.05,0.005,V
2453112.709,11.181,0.005,V
2453112.71,11.305,0.005,V
2453112.71,11.381,0.005,V
2453112.711,11.346,0.005,V
2453112.712,11.257,0.005,V
2453112.713,11.099,0.005,V
2453112.714,10.967,0.004,V
2453112.715,10.835,0.004,V
2453112.716,10.737,0.004,V
2453112.717,10.663,0.004,V
2453112.718,10.644,0.004,V
2453112.719,10.632,0.004,V
2453112.72,10.637,0.004,V
2453112.721,10.639,0.004,V
2453112.722,10.642,0.004,V
2453112.723,10.635,0.004,V
2453112.724,10.632,0.004,V
2453112.725,10.62,0.004,V
2453112.726,10.65,0.004,V
2453112.727,10.659,0.004,V
2453112.728,10.622,0.004,V
2453112.729,10.614,0.004,V
2453112.73,10.616,0.004,V
2453112.731,10.638,0.004,V
2453112.732,10.61,0.004,V
2453112.733,10.588,0.004,V
2453112.734,10.602,0.004,V
2453112.735,10.622,0.004,V
2453112.736,10.608,0.004,V
2453112.737,10.616,0.004,V
2453112.738,10.607,0.004,V
2453112.739,10.573,0.004,V
2453112.74,10.57,0.004,V
2453112.741,10.584,0.004,V
2453112.742,10.575,0.004,V
2453112.743,10.556,0.004,V
2453112.744,10.561,0.004,V
2453112.745,10.54,0.004,V
2453112.746,10.573,0.004,V
2453112.747,10.57,0.004,V
2453112.748,10.511,0.004,V
2453112.749,10.518,0.004,V
2453112.75,10.495,0.004,V
2453112.75,10.512,0.004,V
2453112.751,10.509,0.004,V
2453112.752,10.503,0.004,V
2453112.753,10.503,0.004,V
2453112.754,10.514,0.004,V
2453112.755,10.491,0.004,V
2453112.756,10.486,0.004,V
2453112.757,10.494,0.004,V
2453112.758,10.471,0.004,V
2453112.759,10.463,0.004,V
2453112.76,10.481,0.004,V
2453112.761,10.494,0.004,V
2453112.762,10.486,0.004,V
2453112.763,10.467,0.004,V
2453112.764,10.491,0.004,V
2453112.765,10.512,0.004,V
2453112.766,10.508,0.004,V
2453112.767,10.553,0.004,V
2453112.768,10.593,0.004,V
2453112.769,10.556,0.004,V
2453112.77,10.546,0.004,V
2453112.771,10.53,0.004,V
2453112.772,10.517,0.004,V
2453112.773,10.504,0.004,V
2453112.774,10.478,0.004,V
2453112.775,10.465,0.004,V
2453112.776,10.447,0.004,V
2453112.778,10.456,0.004,V
2453112.779,10.459,0.004,V
2453112.78,10.478,0.004,V
2453112.781,10.47,0.004,V
2453112.782,10.469,0.004,V
2453112.783,10.501,0.004,V
2453112.784,10.482,0.004,V
2453112.785,10.513,0.004,V
2453112.786,10.501,0.004,V
2453112.787,10.506,0.004,V
2453112.787,10.506,0.004,V
2453112.788,10.522,0.005,V
2453112.789,10.528,0.005,V
2453112.79,10.542,0.005,V
2453112.791,10.545,0.005,V
2453112.792,10.554,0.005,V
2453112.793,10.555,0.005,V
2453112.794,10.547,0.005,V
2453112.795,10.564,0.005,V
2453112.796,10.573,0.005,V
2453112.797,10.567,0.005,V
2453112.798,10.588,0.005,V
2453112.799,10.586,0.005,V
2453112.8,10.586,0.005,V
2453112.801,10.586,0.005,V
2453112.802,10.59,0.005,V
2453112.803,10.595,0.005,V
2453112.804,10.605,0.005,V
2453112.805,10.615,0.005,V
2453112.806,10.604,0.005,V
2453112.807,10.622,0.005,V
2453112.808,10.62,0.005,V
2453112.809,10.621,0.005,V
2453112.81,10.629,0.005,V
2453112.811,10.633,0.005,V
2453112.812,10.632,0.005,V
2453112.813,10.628,0.005,V
2453112.814,10.635,0.005,V
2453112.815,10.641,0.005,V
2453112.816,10.632,0.005,V
2453112.817,10.641,0.005,V
2453112.818,10.66,0.005,V
2453112.819,10.64,0.005,V
2453112.82,10.642,0.005,V
2453112.821,10.645,0.005,V
2453112.822,10.725,0.005,V
2453112.823,10.835,0.006,V
2453112.824,10.964,0.006,V
2453112.825,11.09,0.006,V
2453112.826,11.241,0.007,V
2453112.827,11.354,0.007,V
2453112.827,11.4,0.007,V
2453112.828,11.323,0.007,V
2453112.829,11.205,0.007,V
2453112.83,11.056,0.006,V
2453112.831,10.926,0.006,V
2453112.832,10.811,0.006,V
2453112.833,10.705,0.006,V
2453112.834,10.665,0.006,V
2453112.835,10.639,0.006,V
2453112.836,10.634,0.006,V
2453112.837,10.649,0.006,V
2453112.838,10.643,0.006,V
2453112.839,10.64,0.006,V
2453112.84,10.635,0.006,V
2453112.841,10.627,0.006,V
2453112.842,10.644,0.006,V
2453112.843,10.631,0.006,V
2453112.844,10.653,0.006,V
2453112.845,10.633,0.006,V
2453112.846,10.616,0.006,V
2453112.847,10.627,0.006,V
2453112.848,10.624,0.006,V
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,